0020
start,end,count
0,99999,21889
100000,199999,18574
200000,299999,8303
300000,399999,0
400000,499999,0
0040
start,end,count
0,99999,22842
100000,199999,22774
200000,299999,20734
300000,399999,12027
400000,499999,2882
0060
start,end,count
0,99999,23073
100000,199999,23925
200000,299999,24532
300000,399999,19233
400000,499999,11461
0080
start,end,count
0,99999,23529
100000,199999,25310
200000,299999,28442
300000,399999,28068
400000,499999,25044
0100
start,end,count
0,99999,23969
100000,199999,26372
200000,299999,30617
300000,399999,32057
400000,499999,31720
0120
start,end,count
0,99999,23974
100000,199999,26392
200000,299999,30653
300000,399999,32134
400000,499999,31892
